CODICE STS,DESCRIZIONE STS,CODICE CATALOGO,DESCRZIONE CATALOGO,GG ATTESA MEDI,MESE,ANNO
000256,VERBANIA,88.01.4,Tac dell'addome inferiore, senza e con contrasto,245,7,2024
000256,VERBANIA,88.01.4,Tac dell'addome inferiore, senza e con contrasto,239,8,2024
000256,VERBANIA,88.01.4,Tac dell'addome inferiore, senza e con contrasto,234,9,2024
000256,VERBANIA,88.01.5,Tac dell'addome completo,206,1,2024
000256,VERBANIA,88.01.5,Tac dell'addome completo,217,2,2024
000256,VERBANIA,88.01.5,Tac dell'addome completo,233,3,2024
000256,VERBANIA,88.01.5,Tac dell'addome completo,225,4,2024
000256,VERBANIA,88.01.5,Tac dell'addome completo,227,5,2024
000256,VERBANIA,88.01.5,Tac dell'addome completo,231,6,2024
000256,VERBANIA,88.01.5,Tac dell'addome completo,245,7,2024
000256,VERBANIA,88.01.5,Tac dell'addome completo,239,8,2024
000256,VERBANIA,88.01.5,Tac dell'addome completo,234,9,2024
000256,VERBANIA,88.01.6,Tac dell'addome completo, senza e con contrasto,206,1,2024
000256,VERBANIA,88.01.6,Tac dell'addome completo, senza e con contrasto,217,2,2024
000256,VERBANIA,88.01.6,Tac dell'addome completo, senza e con contrasto,233,3,2024
000256,VERBANIA,88.01.6,Tac dell'addome completo, senza e con contrasto,225,4,2024
000256,VERBANIA,88.01.6,Tac dell'addome completo, senza e con contrasto,227,5,2024
000256,VERBANIA,88.01.6,Tac dell'addome completo, senza e con contrasto,231,6,2024
000256,VERBANIA,88.01.6,Tac dell'addome completo, senza e con contrasto,245,7,2024
000256,VERBANIA,88.01.6,Tac dell'addome completo, senza e con contrasto,239,8,2024
000256,VERBANIA,88.01.6,Tac dell'addome completo, senza e con contrasto,234,9,2024
000256,VERBANIA,88.38.5,Tac del bacino e articolazioni sacro-iliache,206,1,2024
000256,VERBANIA,88.72.6,Ecocardiografia,59,1,2024
000256,VERBANIA,88.72.6,Ecocardiografia,99,2,2024
000256,VERBANIA,88.72.6,Ecocardiografia,42,3,2024
000256,VERBANIA,88.72.6,Ecocardiografia,19,4,2024
000256,VERBANIA,88.72.6,Ecocardiografia,211,5,2024
000256,VERBANIA,88.72.6,Ecocardiografia,191,6,2024
000256,VERBANIA,88.72.6,Ecocardiografia,74,7,2024
000256,VERBANIA,88.72.6,Ecocardiografia,16,8,2024
000256,VERBANIA,88.72.6,Ecocardiografia,39,9,2024
000256,VERBANIA,88.73.5,Eco(color)doppler dei tronchi sovraortici,164,1,2024
000256,VERBANIA,88.73.5,Eco(color)doppler dei tronchi sovraortici,200,2,2024
000256,VERBANIA,88.73.5,Eco(color)doppler dei tronchi sovraortici,232,3,2024
000256,VERBANIA,88.73.5,Eco(color)doppler dei tronchi sovraortici,235,4,2024
000256,VERBANIA,88.73.5,Eco(color)doppler dei tronchi sovraortici,219,5,2024
000256,VERBANIA,88.73.5,Eco(color)doppler dei tronchi sovraortici,219,6,2024
000256,VERBANIA,88.73.5,Eco(color)doppler dei tronchi sovraortici,16,7,2024
000256,VERBANIA,88.73.5,Eco(color)doppler dei tronchi sovraortici,30,8,2024
000256,VERBANIA,88.73.5,Eco(color)doppler dei tronchi sovraortici,44,9,2024
000256,VERBANIA,88.78,Ecografia ostetrica,2,1,2024
000256,VERBANIA,88.78,Ecografia ostetrica,3,2,2024
000256,VERBANIA,88.78,Ecografia ostetrica,2,3,2024
000256,VERBANIA,88.78,Ecografia ostetrica,10,4,2024
000256,VERBANIA,88.78,Ecografia ostetrica,10,5,2024
000256,VERBANIA,88.78,Ecografia ostetrica,3,6,2024
000256,VERBANIA,88.78,Ecografia ostetrica,38,7,2024
000256,VERBANIA,88.78,Ecografia ostetrica,3,8,2024
000256,VERBANIA,88.78,Ecografia ostetrica,3,9,2024
000256,VERBANIA,88.78.2,Ecografia ginecologica,10,1,2024
000256,VERBANIA,88.78.2,Ecografia ginecologica,3,2,2024
000256,VERBANIA,88.78.2,Ecografia ginecologica,10,3,2024
000256,VERBANIA,88.78.2,Ecografia ginecologica,10,4,2024
000256,VERBANIA,88.78.2,Ecografia ginecologica,18,5,2024
000256,VERBANIA,88.78.2,Ecografia ginecologica,18,6,2024
000256,VERBANIA,88.78.2,Ecografia ginecologica,11,7,2024
000256,VERBANIA,88.78.2,Ecografia ginecologica,18,8,2024
000256,VERBANIA,88.78.2,Ecografia ginecologica,11,9,2024
000256,VERBANIA,88381.0,Tac del rachide cervicale e dello speco vertebrale,146,1,2024
000256,VERBANIA,88381.0,Tac del rachide cervicale e dello speco vertebrale,130,2,2024
000256,VERBANIA,88381.0,Tac del rachide cervicale e dello speco vertebrale,146,3,2024
000256,VERBANIA,88381.0,Tac del rachide cervicale e dello speco vertebrale,119,4,2024
000256,VERBANIA,88381.0,Tac del rachide cervicale e dello speco vertebrale,130,5,2024
000256,VERBANIA,88381.0,Tac del rachide cervicale e dello speco vertebrale,128,6,2024
000256,VERBANIA,88381.0,Tac del rachide cervicale e dello speco vertebrale,155,7,2024
000256,VERBANIA,88381.0,Tac del rachide cervicale e dello speco vertebrale,171,8,2024
000256,VERBANIA,88381.0,Tac del rachide cervicale e dello speco vertebrale,182,9,2024
000256,VERBANIA,88381.1,Tac del rachide dorsale e dello speco vertebrale,146,1,2024
000256,VERBANIA,88381.1,Tac del rachide dorsale e dello speco vertebrale,130,2,2024
000256,VERBANIA,88381.1,Tac del rachide dorsale e dello speco vertebrale,146,3,2024
000256,VERBANIA,88381.1,Tac del rachide dorsale e dello speco vertebrale,119,4,2024
000256,VERBANIA,88381.1,Tac del rachide dorsale e dello speco vertebrale,130,5,2024
000256,VERBANIA,88381.1,Tac del rachide dorsale e dello speco vertebrale,128,6,2024
000256,VERBANIA,88381.1,Tac del rachide dorsale e dello speco vertebrale,155,7,2024
000256,VERBANIA,88381.1,Tac del rachide dorsale e dello speco vertebrale,171,8,2024
000256,VERBANIA,88381.1,Tac del rachide dorsale e dello speco vertebrale,182,9,2024
000256,VERBANIA,88381.2,Tac del lombo - sacrale e dello speco vertebrale,146,1,2024
000256,VERBANIA,88381.2,Tac del lombo - sacrale e dello speco vertebrale,130,2,2024
000256,VERBANIA,88381.2,Tac del lombo - sacrale e dello speco vertebrale,146,3,2024
000256,VERBANIA,88381.2,Tac del lombo - sacrale e dello speco vertebrale,119,4,2024
000256,VERBANIA,88381.2,Tac del lombo - sacrale e dello speco vertebrale,130,5,2024
000256,VERBANIA,88381.2,Tac del lombo - sacrale e dello speco vertebrale,128,6,2024
000256,VERBANIA,88381.2,Tac del lombo - sacrale e dello speco vertebrale,155,7,2024
000256,VERBANIA,88381.2,Tac del lombo - sacrale e dello speco vertebrale,171,8,2024
000256,VERBANIA,88381.2,Tac del lombo - sacrale e dello speco vertebrale,182,9,2024
000256,VERBANIA,88382.0,Tac del rachide cervicale e dello speco vertebrale, senza e con contrasto,206,1,2024
000256,VERBANIA,88382.0,Tac del rachide cervicale e dello speco vertebrale, senza e con contrasto,217,2,2024
000256,VERBANIA,88382.0,Tac del rachide cervicale e dello speco vertebrale, senza e con contrasto,233,3,2024
