ASL,ANNO,SETTIMANA_INDICE,ID_PRESTAZIONE,DESC_PRESTAZIONE,COD_PRESTAZIONE,PRENOTAZIONI,PRENOTAZIONI_DAGARANTIRE,PRENOTAZIONI_DAGARANTIRE_B,PRENOTAZIONI_DAGARANTIRE_B_TMAX,PRENOTAZIONI_DAGARANTIRE_D,PRENOTAZIONI_DAGARANTIRE_D_TMAX,PRENOTAZIONI_DAGARANTIRE_P,PRENOTAZIONI_DAGARANTIRE_P_TMAX
160106,2021,12-16 LUGLIO 2021,48,"Ecografia ostetrica",88.78,31,31,6,4,1,1,23,23
160106,2021,12-16 LUGLIO 2021,49,"Ecografia ginecologica",88.78.2,15,14,,,4,4,10,10
160106,2021,12-16 LUGLIO 2021,50,"Ecocolor doppler degli arti inferiori arterioso e/o venoso",88.77.2,65,60,8,2,14,14,30,29
160106,2021,12-16 LUGLIO 2021,51,"Colonscopia totale con endoscopio flessibile",45.23,40,39,8,3,8,1,22,22
160106,2021,12-16 LUGLIO 2021,52,"Polipectomia dell'intestino crasso in corso di endoscopia sede unica",45.42,,,,,,,,
160106,2021,12-16 LUGLIO 2021,53,"Rettosigmoidoscopia con endoscopio flessibile",45.24,,,,,,,,
160106,2021,12-16 LUGLIO 2021,54,"Esofagogastroduodenoscopia",45.13,52,51,6,3,16,11,28,28
160106,2021,12-16 LUGLIO 2021,55,"Esofagogastroduodenoscopia con biopsia in sede unica",45.16,19,17,2,,4,2,11,11
160106,2021,12-16 LUGLIO 2021,56,"Elettrocardiogramma",89.52,367,335,39,20,55,41,235,222
160106,2021,12-16 LUGLIO 2021,57,"Elettrocardiogramma dinamico (Holter)",89.50,87,83,12,3,23,22,45,45
160106,2021,12-16 LUGLIO 2021,58,"Test cardiovascolare da sforzo con cicloergometro o con pedana mobile",89.41 - 89.43,3,3,,,,,3,3
160106,2021,12-16 LUGLIO 2021,59,"Altri test cardiovascolari da sforzo",89.44,,,,,,,,
160106,2021,12-16 LUGLIO 2021,60,"Esame audiometrico tonale",95.41.1,86,55,4,2,8,3,43,40
160106,2021,12-16 LUGLIO 2021,61,"Spirometria semplice",89.37.1,71,70,7,,11,9,52,52
160106,2021,12-16 LUGLIO 2021,62,"Spirometria globale",89.37.2,14,14,2,,3,2,9,9
