"ASL","ANNO","SETTIMANA_INDICE","ID_PRESTAZIONE","DESC_PRESTAZIONE","COD_PRESTAZIONE","PRENOTAZIONI","PRENOTAZIONI_DAGARANTIRE","PRENOTAZIONI_DAGARANTIRE_B","PRENOTAZIONI_DAGARANTIRE_B_TMAX","PRENOTAZIONI_DAGARANTIRE_D","PRENOTAZIONI_DAGARANTIRE_D_TMAX","PRENOTAZIONI_DAGARANTIRE_P","PRENOTAZIONI_DAGARANTIRE_P_TMAX"
"160106","2023","09-13 GENNAIO 2023",33,"TC di Bacino e articolazioni sacroiliache","88.38.5",,,,,,,,
"160106","2023","09-13 GENNAIO 2023",34,"RM di encefalo e tronco encefalico, giunzione cranio spinale e relativo distretto vascolare","88.91.1",12,12,9,6,,,3,3
"160106","2023","09-13 GENNAIO 2023",35,"RM di encefalo e tronco encefalico, giunzione cranio spinale e relativo distretto vascolare senza e con MDC","88.91.2",13,12,10,4,2,2,,
"160106","2023","09-13 GENNAIO 2023",36,"RM di addome inferiore e scavo pelvico","88.95.4",1,1,,,,,1,1
"160106","2023","09-13 GENNAIO 2023",37,"RM di addome inferiore e scavo pelvico senza e con MDC","88.95.5",9,9,2,1,6,5,1,
"160106","2023","09-13 GENNAIO 2023",38,"RM della colonna in toto","88.93",5,5,1,1,,,4,2
"160106","2023","09-13 GENNAIO 2023",39,"RM della colonna in toto senza e con MDC","88.93.1",,,,,,,,
"160106","2023","09-13 GENNAIO 2023",40,"Diagnostica ecografica del capo e del collo","88.71.4",80,77,16,9,16,4,45,9
"160106","2023","09-13 GENNAIO 2023",41,"Eco (color) dopplergrafia cardiaca","88.72.3",70,64,7,5,15,13,42,39
"160106","2023","09-13 GENNAIO 2023",42,"Eco (color) dopplergrafia dei tronchi sovra aortici","88.73.5",203,192,14,11,57,39,121,56
"160106","2023","09-13 GENNAIO 2023",43,"Ecografia dell’addome superiore","88.74.1",58,44,15,10,5,2,24,19
