REGIONE,ASL,ANNO,PERIODO_DI_RIFERIMENTO,ID_PRESTAZIONE,DESC_PRESTAZIONE,COD_PRESTAZIONE,EROGAZIONI,EROGAZIONI_DAGARANTIRE,EROGAZIONI_DAGARANTIRE_B,EROGAZIONI_DAGARANTIRE_B_TMAX,EROGAZIONI_DAGARANTIRE_D,EROGAZIONI_DAGARANTIRE_D_TMAX,EROGAZIONI_DAGARANTIRE_P,EROGAZIONI_DAGARANTIRE_P_TMAX
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,27,TC del rachide e dello speco vertebrale cervicale,88.38.01,178,96,43,34,41,40,11,11
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,28,TC del rachide e dello speco vertebrale toracico,88.38.01,,,,,,,,
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,29,TC del rachide e dello speco vertebrale lombosacrale,88.38.01,,,,,,,,
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,30,TC del rachide e dello speco vertebrale cervicale senza e con MDC,88.38.02,8,6,4,1,2,1,,
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,31,TC del rachide e dello speco vertebrale toracico senza e con MDC,88.38.02,,,,,,,,
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,32,TC del rachide e dello speco vertebrale lombosacrale senza e con MDC,88.38.02,,,,,,,,
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,33,TC di Bacino e articolazioni sacroiliache,88.38.05,14,5,3,2,1,1,1,1
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,34,"RM di encefalo e tronco encefalico, giunzione cranio spinale e relativo distretto vascolare",89.31.01,499,149,82,33,40,29,27,27
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,35,"RM di encefalo e tronco encefalico, giunzione cranio spinale e relativo distretto vascolare senza e con MDC",89.31.02,322,209,143,36,59,25,7,7
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,36,RM di addome inferiore e scavo pelvico,89.35.04,30,21,13,3,7,3,1,1
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,37,RM di addome inferiore e scavo pelvico senza e con MDC,89.35.05,213,139,87,14,42,14,10,10
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,38,RM della colonna in toto,89.33.00,1560,776,374,212,293,259,105,105
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,39,RM della colonna in toto senza e con MDC,89.33.01,140,74,49,21,21,13,4,4
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,40,Diagnostica ecografica del capo e del collo,89.11.04,1152,600,251,133,264,201,80,80
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,41,Eco (color) dopplergrafia cardiaca,89.12.03,826,447,136,73,215,128,94,94
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,42,Eco (color) dopplergrafia dei tronchi sovra aortici,89.13.05,1507,1008,310,188,444,347,252,252
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,43,Ecografia dell’addome superiore,89.14.01,1134,630,222,158,350,329,56,56
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,44,Ecografia dell’addome inferiore,89.15.01,210,120,57,33,48,42,14,14
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,45,Ecografia dell’addome completo,89.16.01,2593,1202,498,347,511,457,185,185
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,46,Ecografia bilaterale della mammella,89.13.01,1349,845,256,145,352,312,232,232
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,47,Ecografia monolaterale della mammella,89.13.02,5,3,2,2,1,1,,
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,48,Ecografia ostetrica,89.18.00,349,63,26,22,37,37,,
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,49,Ecografia ginecologica,89.18.02,421,186,72,52,114,97,,
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,50,Ecocolor doppler degli arti inferiori arterioso e/o venoso,89.17.02,1948,1015,369,281,376,312,259,258
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,51,Colonscopia totale con endoscopio flessibile,45.23.00,223,116,65,39,51,23,,
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,52,Polipectomia dell’intestino crasso in corso di endoscopia sede unica,45.42.00,23,7,6,6,1,1,,
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,53,Rettosigmoidoscopia con endoscopio flessibile,45.24.00,1,,,,,,,
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,54,Esofagogastroduodenoscopia,45.13.00,415,304,209,55,95,39,,
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,55,Esofagogastroduodenoscopia con biopsia in sede unica,45.16.00,324,212,143,34,69,24,,
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,56,Elettrocardiogramma,89.52.00,4331,1838,903,461,803,605,126,125
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,57,Elettrocardiogramma dinamico (Holter),89.50.00,465,137,72,35,65,37,,
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,58,Test cardiovascolare da sforzo con cicloergometro o con pedana mobile,89.41 - 89.43,155,73,30,12,43,9,,
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,59,Altri test cardiovascolari da sforzo,89.44.00,,,,,,,,
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,60,Esame audiometrico tonale,95.41.01,1103,344,228,132,116,95,,
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,61,Spirometria semplice,89.37.01,1066,296,148,75,148,141,,
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,62,Spirometria globale,89.37.02,821,142,88,43,54,46,,
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,63,Fotografia del fundus,95.11.00,,,,,,,,
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,64,ELETTROMIOGRAFIA SEMPLICE [EMG] PER ARTO SUPERIORE. Analisi qualitativa fino a 6 muscoli. Non associabile a 93.09.1 e 93.09.2,93.08.01,5094,3832,1057,1047,1786,1786,964,964
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,65,ELETTROMIOGRAFIA SEMPLICE [EMG] PER ARTO INFERIORE fino a 4 muscoli. Analisi qualitativa. Non associabile a 93.09.1 e 93.09.2,93.08.01,,,,,,,,
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,66 - 67,ELETTROMIOGRAFIA SEMPLICE [EMG] DEL CAPO fino a 4 muscoli. Analisi qualitativa. Escluso: EMG dell'occhio (95.25) e POLISONNOGRAFIA (89.17),93.08.01,,,,,,,,
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,,ELETTROMIOGRAFIA SEMPLICE [EMG] DEL TRONCO. Analisi qualitativa. Fino a 4 muscoli,,,,,,,,,
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,68,"VALUTAZIONE EMG DINAMICA DEL CAMMINO. Valutazione EMG di superficie o con elettrodi a filo (4 muscoli), associato ad esame basografico per la definizione delle fasi del passo. Non associabile a ANALISI DELLA CINEMATICA E DELLA DINAMICA DEL PASSO (93.05.7)",93.08.01,,,,,,,,
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,69,EMG DINAMICA DELL'ARTO SUPERIORE. Valutazione EMG di superficie o con elettrodi a filo (4 muscoli),93.08.01,,,,,,,,
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,1,Prima Visita cardiologica,89.7,2613,958,544,208,413,168,1,1
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,2,Prima Visita chirurgia vascolare,89.7,347,170,94,33,75,29,1,
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,3,Prima Visita endocrinologica,89.7,1598,546,313,153,233,119,,
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,4,Prima Visita neurologica,89.13.00,821,328,163,56,164,94,1,1
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,5,Prima Visita oculistica,95.02.00,1794,405,174,162,231,162,,
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,6,Prima Visita ortopedica,89.7,1207,405,208,80,195,70,2,2
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,7,Prima Visita ginecologica,89.26.00,924,185,68,35,117,55,,
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,8,Prima Visita otorinolaringoiatrica,89.7,2346,579,263,107,316,134,,
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,9,Prima Visita urologica,89.7,743,262,123,51,138,73,1,1
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,10,Prima Visita dermatologica,89.7,2363,576,262,184,314,165,,
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,11,Prima Visita fisiatrica,89.7,2926,651,137,129,234,187,279,278
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,12,Prima Visita gastroenterologica,89.7,423,142,82,52,60,34,,
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,13,Prima Visita oncologica,89.7,930,189,125,100,64,53,,
